asset_id,name,type,region_id,scheme_id,actor_id,cost,status,lat,lon,encroached,nature,ownership,image_url,source_type,confidence
ASSET_W45_GALI7_DRAIN,Storm-water drain — Gali No. 7,drain,REG_W45_GALI7,SCH_SFC,ACT_MCD_SHAHDARA_WORKS,1200000.0,completed,28.6692,77.2945,,,,,,
ASSET_W45_GALI12_DRAIN,Storm-water drain — Gali No. 12,drain,REG_W45_GALI12,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,980000.0,completed,28.6739,77.2934,,,,,,
ASSET_W45_GALI3_DRAIN,Storm-water drain — Gali No. 3,drain,REG_W45_GALI3,SCH_SFC,ACT_MCD_SHAHDARA_WORKS,750000.0,in_progress,28.676,77.2912,,,,,,
ASSET_W45_ROAD_GALI7,Road resurfacing — Gali No. 7,road,REG_W45_GALI7,SCH_SFC,ACT_CONTRACTOR_INFRA_1,900000.0,completed,28.6695,77.2948,,,,,,
ASSET_W45_TOILET,Community toilet block — Shahdara Market,toilet,REG_W45_MARKET_ROAD,SCH_SWACHH,ACT_MCD_SHAHDARA_SANITATION,800000.0,in_progress,28.6685,77.2955,,,,,,
ASSET_W45_PMAY_HOUSING_A,PMAY Housing Block A — Colony Y (30 units),housing,REG_W45_COLONY_Y,SCH_PMAY,ACT_DDA,30000000.0,in_progress,28.672,77.291,,,,,,
ASSET_W45_GALI12_STREETLIGHT,LED streetlights — Gali No. 12,streetlight,REG_W45_GALI12,SCH_LOCAL_LIGHTS,ACT_CONTRACTOR_LIGHTS_1,600000.0,in_progress,28.6739,77.2934,,,,,,
ASSET_W45_PARK,Community park — Ward 45,park,REG_W45,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,500000.0,completed,28.6731,77.2904,,,,,,
ASSET_AMRUT_DRAIN_DELHI_STATE,AMRUT Storm-Water Drainage — Delhi State (2 works completed),drain,REG_DELHI,SCH_AMRUT,ACT_MCD_SHAHDARA_WORKS,200999.99999999997,completed,28.6139,77.209,,,,,,
ASSET_WB_272027,"Lake/Pond — Burari, Central",water_body,REG_DELHI,SCH_AMRUT,ACT_DDA,,completed,28.7586111098723,77.196111109561,No,Natural,Other Govt.Agency,https://mi6census.mowr.gov.in/mic/getWaterBodyImageByURL/MIC_133010000028000327005.jpeg,semi_structured_kml,0.95
